SubjectAssgn,GenID,ExpAssgn,Vowel,Item,ItemType,RespNum,RespNum2,absRT,logAbsRT
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,1,100,491.56,2.691576536
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,849.34,2.929081578
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,479.84,2.681096448
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,696.39,2.842852526
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,280.37,2.447731542
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,390.86,2.592021228
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,641.86,2.807440312
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,421.45,2.624746058
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,1069.73,3.029274176
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,563.14,2.750616377
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,706.41,2.849056839
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,522.72,2.718269117
